Receipt Index,Date,Name,Price,Currency,Exchange Rate,Price (Exchanged),Category Name,Category Code,Comment,Payment Method
1,08/01/20,Farmácia Mopani,-425.00,MZN,1,-425.00,BF - Grocery & Other Supplies,BF - SUPP,First aid kit supplies ,Base
2,08/01/20,Beginning Balance,80376.00,MZN,1,80376.00,BF - Deposit,BF - DEP,Beginning Balance ,Base
3,08/01/20,Beau Krpicak,31000.00,MZN,1,31000.00,BF - Deposit,BF - DEP,Manager Salary ,Base
4,08/03/20,Mini Banca Guiamba,-240.00,MZN,1,-240.00,BF - Repairs & Maintenance (Bldg),BF - BLDGREP,Paint brushes (2),Base
5,08/03/20,EDM,-2000.00,MZN,1,-2000.00,BF - Utilities,BF - UTL,Electricity ,Base
6,08/03/20,Tofo Trash Dump,-100.00,MZN,1,-100.00,BF - Utilities,BF - UTL,Trash Removal ,Base
7,08/03/20,Ramo Comercial,-300.00,MZN,1,-300.00,BF - Grocery & Other Supplies,BF - SUPP,Two paintbrushes ,Base
8,08/04/20,Associação África Missions,77182.00,MZN,1,77182.00,"BF - Rent, Other Occupancy",BF - RNT,August rent ,Base
9,08/04/20,Somoconta,-5000.00,MZN,1,-5000.00,BF - Accounting Fees,BF - ACCT,July accounting fees ,Base
10,08/04/20,Jan Van Niekerk,-16000.00,MZN,1,-16000.00,BF - Contract Temporary Help,BF - CNT,Railings Labor ,Base
11,08/04/20,Gindolo,-3150.00,MZN,1,-3150.00,BF - Building Supplies,BF - BLDG,Varnish ,Base
12,08/04/20,Paulo,-20000.00,MZN,1,-20000.00,BF - Contract Temporary Help,BF - CNT,Chalet railings ,Base
13,08/04/20,INSS,-4572.00,MZN,1,-4572.00,BF - Employee Payroll,BF - EMPRL,INSS ,Base
14,08/05/20,Tx to Base Savings Budget,-7150.00,MZN,1,-7150.00,BF - Deposit,BF - DEP,Sev Pay August ,Base
15,08/05/20,Tx to Base Savings Budget,-2000.00,MZN,1,-2000.00,BF - Deposit,BF - DEP,Taxes ,Base
16,08/05/20,Gindolo,-1890.00,MZN,1,-1890.00,BF - Grocery & Other Supplies,BF - SUPP,Circuit breakers and DB box ,Base
17,08/05/20,Firex Sociedade Unipessoal,-7020.00,MZN,1,-7020.00,BF - Repairs & Maintenance (Bldg),BF - BLDGREP,Servicing of fire extinguishers ,Base
18,08/06/20,Pedro Jose,-1000.00,MZN,1,-1000.00,BF - Contract Temporary Help,BF - CNT,Labor ,Base
19,08/07/20,Brandon Murray,36565.00,MZN,1,36565.00,BF - Building Supplies,BF - BLDG,Chalet 4 railing cost ,Base
20,08/07/20,Gindolo,-650.00,MZN,1,-650.00,BF - Repairs & Maintenance (Bldg),BF - BLDGREP,Floater switch water tank ,Base
21,08/07/20,Pedro Jose,-2000.00,MZN,1,-2000.00,BF - Contract Temporary Help,BF - CNT,Water Tower floater switch replacement ,Base
22,08/10/20,EDM,-2000.00,MZN,1,-2000.00,BF - Utilities,BF - UTL,Electricity ,Base
23,08/10/20,Isabel,-250.00,MZN,1,-250.00,BF - Contract Temporary Help,BF - CNT,One day labor ,Base
24,08/10/20,Catarina,-250.00,MZN,1,-250.00,BF - Accounting Fees,BF - ACCT,One day labor ,Base
25,08/11/20,Machavenga,-2041.00,MZN,1,-2041.00,BF - Grocery & Other Supplies,BF - SUPP,Toaster for MC,Base
26,08/11/20,Capalana Shop,-1200.00,MZN,1,-1200.00,BF - Staff Development,BF - SD,Two uniforms for Lídia ,Base
27,08/13/20,Gindolo,-1020.00,MZN,1,-1020.00,BF - Repairs & Maintenance (Bldg),BF - BLDGREP,"Showerheads, Plumbing tape, nails, electrical tape ",Base
28,08/13/20,Machavenga,-1251.00,MZN,1,-1251.00,BF - Housing,BF - HSG,Electric kettle ,Base
29,08/14/20,Tyler & Joy Bailey,36565.00,MZN,1,36565.00,BF - Building Supplies,BF - BLDG,Reimbursement for railings for chalet ,Base
30,08/14/20,Comercio Azul,-180.00,MZN,1,-180.00,BF - Office Supplies,BF - OFSUPP,Binder ,Base
31,08/14/20,Machavenga,-4066.00,MZN,1,-4066.00,BF - Grocery & Other Supplies,BF - SUPP,Blu52 (3) large,Base
32,08/17/20,Moz Prints,-1600.00,MZN,1,-1600.00,BF - Printing & Copying,BF - PRNT,2 photo enlargement prints ,Base
33,08/18/20,Gindolo,-440.00,MZN,1,-440.00,BF - Grocery & Other Supplies,BF - SUPP,Paintbrushes (2) and cement sponges (2),Base
34,08/18/20,EDM,-2000.00,MZN,1,-2000.00,BF - Utilities,BF - UTL,Electricity ,Base
35,08/18/20,Paulo,-500.00,MZN,1,-500.00,BF - Utilities,BF - UTL,Trash Removal ,Base
36,08/23/20,Builders,-3243.00,MZN,1,-3243.00,BF - Grocery & Other Supplies,BF - SUPP,"Drill bit heads, silicone sealant, drill bit magnet ",Base
37,08/23/20,Woolworths,-4740.00,MZN,1,-4740.00,BF - Grocery & Other Supplies,BF - SUPP,Containers ,Base
38,08/24/20,EDM,-2000.00,MZN,1,-2000.00,BF - Utilities,BF - UTL,Electricity ,Base
39,08/24/20,AMG,-3438.00,MZN,1,-3438.00,BF - Utilities,BF - UTL,Diesel for generator 50L,Base
40,08/24/20,Great Wall,-920.00,MZN,1,-920.00,BF - Repairs & Maintenance (Bldg),BF - BLDGREP,Glass for mirror and photo frame ,Base
41,08/24/20,Construa,-1524.00,MZN,1,-1524.00,BF - Grocery & Other Supplies,BF - SUPP,Sand brooms ,Base
42,08/24/20,Pedro Jose,-700.00,MZN,1,-700.00,BF - Contract Temporary Help,BF - CNT,Floater switch fix ,Base
43,08/24/20,Premier Superspar,-240.00,MZN,1,-240.00,BF - Grocery & Other Supplies,BF - SUPP,Fireproof sealant,Base
44,08/24/20,Premier Superspar,-345.00,MZN,1,-345.00,BF - Grocery & Other Supplies,BF - SUPP,Glass containers and cleaning towels ,Base
45,08/24/20,Builders,-2712.00,MZN,1,-2712.00,BF - Grocery & Other Supplies,BF - SUPP,Light bulb and clock ,Base
46,08/26/20,Naresh Ramniclal,-3200.00,MZN,1,-3200.00,BF - Utilities,BF - UTL,4x propane refills ,Base
47,08/26/20,Gindolo,-150.00,MZN,1,-150.00,BF - Repairs & Maintenance (Bldg),BF - BLDGREP,Roll of 100grit sandpaper ,Base
48,08/26/20,Cater King,-1542.00,MZN,1,-1542.00,BF - Office Supplies,BF - OFSUPP,Envelopes ,Base
49,08/26/20,Cater King,-416.00,MZN,1,-416.00,BF - Repairs & Maintenance (Bldg),BF - BLDGREP,Caulking gun ,Base
50,08/26/20,Cater King,-4289.00,MZN,1,-4289.00,BF - Staff Development,BF - SD,Uniform pants for guards ,Base
51,08/26/20,Cater King,-4060.00,MZN,1,-4060.00,BF - Office Supplies,BF - OFSUPP,"Ink cartridge, boxes and whiteboard cleaner ",Base
52,08/27/20,Mozambique Houses,-20000.00,MZN,1,-20000.00,BF - Professional Fees,BF - PROF,Technician visit to Ligogo Property ,Base
53,08/28/20,Gindolo,-1900.00,MZN,1,-1900.00,BF - Repairs & Maintenance (Bldg),BF - BLDGREP,(2) toilet fixtures for chalet 3L&3R,Base
54,08/31/20,Alexandre Francisco Madango,-8780.00,MZN,1,-8780.00,BF - Employee Payroll,BF - EMPRL,August Salary,Base
55,08/31/20,Lidia Francisco Bia,-7110.00,MZN,1,-7110.00,BF - Employee Payroll,BF - EMPRL,August salary ,Base
56,08/31/20,Gabriel Carlos,-8610.00,MZN,1,-8610.00,BF - Employee Payroll,BF - EMPRL,August salary ,Base
57,08/31/20,Jose Nguila Covela,-8780.00,MZN,1,-8780.00,BF - Employee Payroll,BF - EMPRL,August salary ,Base
58,08/31/20,Manager Salary,-31000.00,MZN,1,-31000.00,BF - Employee Payroll,BF - EMPRL,August salary ,Base
59,08/31/20,Close out August,-51694.00,MZN,1,-51694.00,BF - Deposit,BF - DEP,Close out August ,Base

 
