Receipt Index,Date,Name,Price,Currency,Exchange Rate,Price (Exchanged),Category Name,Category Code,Comment,Payment Method
1,08/01/20,Beginning Balance,1168.00,MZN,1,1168.00,BF - Deposit,BF - DEP,Beginning Balance ,Kitty
2,08/01/20,Comercio Azul,-545.00,MZN,1,-545.00,BF - Grocery & Other Supplies,BF - SUPP,Bleach and washing powder ,Kitty
3,08/03/20,Tx to Rollover,-623.00,MZN,1,-623.00,BF - Deposit,BF - DEP,Remaining balance ,Kitty
4,08/03/20,Murray Kitty Fees,3500.00,MZN,1,3500.00,BF - Deposit,BF - DEP,One week kitty fees ,Kitty
5,08/03/20,EDM,-3000.00,MZN,1,-3000.00,BF - Utilities,BF - UTL,Electricity ,Kitty
6,08/03/20,Krpicak  Kitty Fees,1810.00,MZN,1,1810.00,BF - Deposit,BF - DEP,Six days kitty fees partial  ,Kitty
7,08/03/20,Krpicak  Kitty Fees,4190.00,MZN,1,4190.00,BF - Deposit,BF - DEP,remainder of kitty ,Kitty
8,08/03/20,Carne Osso,-700.00,MZN,1,-700.00,BF - Grocery & Other Supplies,BF - SUPP,Beef,Kitty
9,08/03/20,Comercio Azul,-2840.00,MZN,1,-2840.00,BF - Grocery & Other Supplies,BF - SUPP,"Chips, Chicken, Flour, Paper Towels, Coffee",Kitty
10,08/03/20,Machavenga,-1810.00,MZN,1,-1810.00,BF - Grocery & Other Supplies,BF - SUPP,"Meat, Salad Mix, Pasta, Veggies",Kitty
11,08/04/20,Machavenga,-218.00,MZN,1,-218.00,BF - Grocery & Other Supplies,BF - SUPP,Tomatoes and cream ,Kitty
12,08/04/20,Comercio Azul,-178.00,MZN,1,-178.00,BF - Grocery & Other Supplies,BF - SUPP,Two cans of beans ,Kitty
13,08/05/20,Machavenga,-733.00,MZN,1,-733.00,BF - Grocery & Other Supplies,BF - SUPP,"Butter, Tomatoes, Cream Cheese, Salad ",Kitty
14,08/10/20,Tx to Rollover,-21.00,MZN,1,-21.00,BF - Deposit,BF - DEP,Remaining balance ,Kitty
15,08/10/20,Murray Kitty Fees,5000.00,MZN,1,5000.00,BF - Deposit,BF - DEP,One week kitty fees,Kitty
