Receipt Index,Date,Name,Price,Currency,Exchange Rate,Price (Exchanged),Category Name,Category Code,Comment,Payment Method
1,08/01/20,Beginning Balance,603919.00,MZN,1,603919.00,BF - Deposit,BF - DEP,Beginning Balance ,Wall
2,08/01/20,Alberto Bennet,-15000.00,MZN,1,-15000.00,BF - Contract Temporary Help,BF - CNT,Clearing of Land ,Wall
3,08/03/20,Domingo,-6500.00,MZN,1,-6500.00,BF - Building Supplies,BF - BLDG,Wood for wall foundation ,Wall
4,08/03/20,Domingo,-500.00,MZN,1,-500.00,BF - Travel & Incidentals,BF - TRV,Transport of wood ,Wall
5,08/03/20,Construa,-77255.00,MZN,1,-77255.00,BF - Building Supplies,BF - BLDG," Cement, Rebar, Shovels, Wheelbarrow wheel, iron tubes ",Wall
6,08/04/20,Babalaza Shop,-2500.00,MZN,1,-2500.00,BF - Grocery & Other Supplies,BF - SUPP,Buckets for cement ,Wall
7,08/04/20,Domingo,-4000.00,MZN,1,-4000.00,BF - Travel & Incidentals,BF - TRV,4x transport cement ,Wall
8,08/04/20,Domingo Comercial,-400.00,MZN,1,-400.00,BF - Grocery & Other Supplies,BF - SUPP,Discs ,Wall
9,08/05/20,Miguel’s Shop Barra,-450.00,MZN,1,-450.00,BF - Grocery & Other Supplies,BF - SUPP,Twine ,Wall
10,08/05/20,Gindolo,-8250.00,MZN,1,-8250.00,BF - Grocery & Other Supplies,BF - SUPP,Hoses ,Wall
11,08/05/20,Construa,-21351.00,MZN,1,-21351.00,BF - Building Supplies,BF - BLDG,"Cement, Rebar, Screws, Electrodes",Wall
12,08/05/20,Domingo,-1000.00,MZN,1,-1000.00,BF - Travel & Incidentals,BF - TRV,Transport of cement and rebar,Wall
13,08/05/20,Jorge,-500.00,MZN,1,-500.00,BF - Contract Temporary Help,BF - CNT,Clearing of brush ,Wall
14,08/06/20,Babalaza Shop,-455.00,MZN,1,-455.00,BF - Grocery & Other Supplies,BF - SUPP,Fittings for water pipe,Wall
